,word,num
118,领导,1081
32,年,1005
33,月,861
11,小区,809
616,业主,724
20,请问,650
5,成都,555
55,说,533
148,希望,467
546,时间,434
149,相关,428
73,想,426
1104,开发商,412
225,部门,383
26,谢谢,382
34,日,378
264,请,365
370,政府,343
95,号,338
661,情况,332
21,2022,318
336,影响,316
194,解决,313
523,居民,302
772,学校,297
119,您好,292
87,未,268
235,公司,265
31,2021,262
755,订阅,260
74,咨询,260
209,尊敬,252
487,办理,248
520,中,248
65,拆迁,248
515,房子,248
518,回复,241
396,医保,240
190,区,239
424,路,237
757,成都市,233
2767,学生,227
168,交房,225
337,生活,223
522,社区,219
773,小学,218
323,施工,206
809,投诉,205
818,地铁,202
331,工作,200
344,物业,200
1441,孩子,198
52,做,198
1081,户口,194
196,你好,184
233,合同,184
513,规划,184
37,10,182
819,导致,176
1387,买,171
1103,时,168
756,九价,167
885,人员,166
394,社保,166
821,老百姓,164
1080,镇,163
199,项目,158
947,政策,157
98,12,156
519,高新区,156
1201,公园,155
564,购买,154
46,钱,151
163,双流,150
903,疫情,150
58,天府,147
247,找,147
508,街道,146
1242,人才,145
42,元,145
400,信息,144
1748,11,141
380,大道,139
1281,住,137
575,四川,131
226,电话,131
1713,建设,129
752,医院,129
340,噪音,129
2435,楼盘,128
421,告知,127
77,安置,127
0,问,126
1042,服务中心,126
18,新,126
485,村,126
66,小孩,125
36,点,125
223,申请,124
910,通知,124
544,道路,123
1032,管理,121
153,复工,121
470,建议,117
696,地方,116
283,车辆,115
3567,交付,115
88,修建,114
2111,单位,113
63,房屋,111
698,居住,111
129,发现,111
467,片区,109
460,出行,108
59,新区,106
854,疫苗,106
157,周边,106
1592,区域,106
115,真的,105
78,房,105
231,感谢,104
422,原因,104
2588,宣传,103
13,幼儿园,102
97,晚上,101
2325,村民,101
221,查询,100
1094,住户,99
2544,天,99
257,一年,98
9,城,98
5880,封校,98
660,上班,97
402,参保,97
14,去年,96
1430,购房,94
864,计划,94
215,资金,93
265,调查,92
395,国家,92
2130,整改,92
220,显示,91
28,四川省,90
1066,工作人员,90
1843,装修,90
335,长期,90
251,开,88
207,多久,87
393,城市,87
68,前,87
726,二期,87
1133,社区卫生,87
1102,月份,86
699,环境,85
339,重视,85
1118,资料,84
1007,监管,84
2555,费用,84
1334,方案,83
443,20,83
412,不到,82
475,30,82
277,栋,82
1125,停,82
212,缴纳,81
142,停工,81
1008,销售,81
2613,穿,80
675,安装,80
333,休息,80
982,两个,80
1846,只能,79
72,现,79
2104,期间,79
628,请求,78
1062,27,77
329,早上,77
1827,承诺,77
2128,标准,77
973,15,76
3358,消费者,76
906,约,76
2025,一名,75
1076,风险,75
189,恳请,75
861,排队,75
160,发展,75
1492,读,75
579,有限公司,75
285,登记,75
278,14,74
936,太,74
2,解封,73
4582,芙蓉城,73
420,小时,73
1526,补贴,73
458,公交,73
664,教育,73
12,旁边,72
512,有没有,72
135,中心,72
2930,划片,72
2541,收费,72
1669,大学,71
1886,号线,71
1576,公寓,71
418,走,71
627,里,71
147,市民,71
263,事情,71
1356,设计,70
633,督促,70
61,2020,69
747,证明,69
381,改造,69
403,电子,69
1515,郫,69
842,群众,69
2568,修,68
363,安全隐患,68
3303,绵阳,68
3503,老人,68
1459,设置,68
85,青羊区,68
192,帮忙,68
294,车,68
116,办法,67
2168,交通,67
983,距离,67
109,每次,67
728,电梯,67
228,麻烦,66
1495,提供,66
753,高新,65
1211,市长,65
38,分,65
552,货车,65
858,卫生院,65
352,道,65
238,平台,64
1561,停车,64
1300,特别,63
107,交,63
143,网上,63
187,带来,63
2938,破坏,62
354,本来,62
319,工地,62
1107,房产证,62
281,贷款,62
722,原,62
2981,反馈,61
1156,同意,61
639,几个,60
785,土地,60
328,声音,60
1521,书记,60
3371,协调,60
2265,工资,59
2580,国际,59
640,站,59
236,郫都区,59
2150,现场,59
1368,诉求,58
1596,企业,58
731,验收,58
213,住房,58
48,我家,58
510,组,58
1697,13,57
1443,实在,57
2695,关注,57
2470,监督,57
1433,几天,57
674,16,57
1298,占,57
2779,彭州市,57
261,家里,57
808,政府部门,56
4635,派出所,56
364,发生,56
117,理解,56
1824,武侯区,56
1174,公示,55
368,负责,55
436,公交车,55
1386,买房,55
1120,几年,55
1108,2019,55
4748,账户,54
2231,老师,54
2919,家庭,54
799,多年,54
3049,家长,54
8039,户,54
81,户籍,54
758,成华区,54
413,分钟,54
717,增加,53
1985,提出,53
1282,建局,53
2030,电瓶车,53
680,扰民,53
338,质量,53
477,17,53
1563,充电,53
1041,保障,53
1137,排,53
1993,位于,53
1248,收到,52
965,新津,52
1299,经营,52
629,百姓,52
16,消息,52
91,协议,52
1301,排名,52
2802,处,52
105,进出,51
585,求助,51
1197,局,51
1389,上学,51
203,选择,50
1051,条件,50
1942,高,50
162,近期,50
314,龙泉驿区,50
2929,多校,50
937,公平,50
3579,无果,49
1340,街,49
1774,沟通,49
1546,预约,49
1084,学习,49
2079,彭,49
4332,价格,49
1269,",",48
884,成,48
7045,蓝光,48
3066,给予,48
3785,这是,48
1004,延期,48
2328,农村,48
3029,搭建,48
909,文件,48
1013,答复,48
271,一点,48
302,退,48
318,对面,47
2179,隔离,47
234,22,47
6,温江,47
611,动工,47
1503,搬迁,47
1221,就读,47
1642,很大,47
2277,乱,46
195,此事,46
4659,享受,46
150,烂尾,46
558,我于,46
3834,支付,46
2627,占用,46
1177,等待,45
151,工程,45
208,发放,45
447,之间,45
774,中学,45
125,商业,45
598,处于,45
593,微信,45
334,不好,45
158,房产,45
2221,视频,44
2411,解释,44
3951,服务,44
80,父母,44
1741,多个,44
3425,入学,44
172,迟迟,44
1241,集团,44
850,家,44
4605,转,44
578,开发,43
590,办,43
1818,报名,43
506,温江区,43
599,状态,43
1941,地区,43
2560,一期,43
1928,低,43
13887,穿阳曦,43
1489,帮,43
169,门口,43
29,金牛区,43
2148,打电话,43
1003,21,43
489,事,42
301,一个月,42
2927,赔偿,42
47,回,42
1279,建筑,42
1140,秒,42
730,消防,42
3411,卖,42
1087,读书,42
1565,绿化,42
634,落实,42
953,米,42
321,夜间,42
3677,钢筋,42
559,2018,41
4362,约定,41
4585,高层,41
1480,方式,41
1924,解决问题,41
1021,违规,41
3782,开工,41
1245,市,41
671,三期,41
1828,年底,41
5918,医生,41
1171,一条,40
349,越来越,40
1065,缴费,40
431,不合理,40
889,检测,40
361,通行,40
2970,员工,40
555,安排,40
2556,需,40
425,感觉,40
606,段,40
12353,斜,40
385,材料,40
1258,审核,40
3347,入住,40
981,位置,40
1366,分贝,39
1488,名,39
154,进度,39
565,一套,39
2453,一楼,39
1249,资格,39
695,设施,39
1377,教育局,39
3183,名字,39
719,给出,39
1776,依然,39
999,停车位,39
2692,车位,39
5017,提前,39
3989,欺骗,39
3395,效果,39
2064,污染,39
6424,公路,39
2278,卫生,39
2626,违法,39
1235,拆除,38
3676,预售,38
3304,修改,38
3476,产权,38
1247,责任,38
426,红绿灯,38
4970,手机,38
587,身份证,38
595,成功,38
721,理由,38
1393,拆,38
871,单元,38
1619,商铺,37
1361,跑,37
9309,小区业主,37
362,不便,37
2318,社会,37
1350,路口,37
1079,询问,37
4803,食堂,37
133,广场,37
2127,并未,37
1141,位,37
1505,娃娃,37
4703,公开,37
892,新城,37
5028,图纸,37
1195,凭证,36
10860,承重墙,36
504,完,36
1528,摇号,36
76,拿到,36
214,维修,36
655,后续,36
332,回家,36
1365,符合,36
2342,老年人,36
2659,公共,36
3123,系统,36
2365,签字,36
1564,桩,36
193,协商,36
5928,变更,36
404,社保卡,36
2424,告诉,35
307,银行,35
2311,租房,35
290,承担,35
6137,改,35
3195,达,35
101,收,35
2488,住宅,35
1660,31,35
2711,彭州,35
1622,随意,35
1304,未来,35
4129,天然气,35
741,担心,35
232,签,35
1072,面临,35
986,危险,35
2472,做主,34
5204,强制,34
478,00,34
3085,过程,34
1043,无人,34
1165,态度,34
3163,18,34
1664,教师,34
1302,线下,34
1157,私自,34
817,难,33
567,安居,33
907,苗上,33
1224,官方,33
3914,商品房,33
3961,正,33
2873,校区,33
2238,兴隆,33
1906,退休,33
1040,街道办,33
5282,虚假,33
5316,回答,33
2269,差,33
348,改善,33
1625,有人,33
761,恒大,33
3745,居住证,32
2070,路段,32
3215,红光,32
797,方向,32
1049,报销,32
1435,经济,32
2785,农民,32
3490,检查,32
1785,合法,32
690,下午,32
279,楼,32
720,调整,32
1820,公布,32
1146,公立,32
1815,专业,32
2131,收取,32
456,公里,32
24,招生,32
527,路面,32
1470,找到,32
2456,半年,32
2333,施工方,32
479,19,32
96,进,32
3767,问政,32
2760,内容,32
4843,机构,32
3008,购房者,32
2399,出面,32
4190,拒绝,31
4550,治疗,31
146,程序,31
2152,维护,31
1759,留言,31
865,好久,31
258,辛苦,31
1216,支持,31
1127,汽车,31
713,不符,31
1212,第一,31
1951,朋友,31
962,期,31
1328,医保卡,31
191,市政,31
665,学院,31
35,凌晨,31
1959,全国,31
2408,老板,31
802,拥堵,30
670,花园,30
1169,西河,30
2359,集体,30
1256,提交,30
1268,停车场,30
3442,长岛,30
1280,垃圾,30
848,措施,30
2017,关系,30
4,核酸,30
2236,退费,30
2935,反对,30
