,word,num
1,咨询,179
6,投诉,134
4,城建,90
3,求助,73
0,医疗,61
2,其他,61
11,教育,54
12,建言,48
8,交通,46
5,拆迁,42
7,环保,16
14,就业,11
13,企业,9
9,治安,8
10,3.15,8
15,三农,7
17,贪腐,2
16,文娱,1
